label,is_not_disease,is_pathogen,is_promed_label,parent_label,not_human_disease,is_category,wiki_link,synonym,Non-HM disease label,comments
Influenza,,,,,,,http://en.wikipedia.org/wiki/Influenza,,,flu
Isosporiasis,,,,,,,http://en.wikipedia.org/wiki/Isosporiasis,,,
Japanese Encephalitis,,,,Encephalitis,,,http://en.wikipedia.org/wiki/Japanese_encephalitis,,,
Kawasaki Disease,,,,,,,http://en.wikipedia.org/wiki/Kawasaki_disease,,,
Klebsiella pneumoniae,,TRUE,,,,,http://en.wikipedia.org/wiki/Klebsiella_pneumoniae,,,
Kyasanur forest disease,,,,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Kyasanur_forest_disease,,TRUE,
La Crosse Encephalitis,,,,Encephalitis,,,http://en.wikipedia.org/wiki/La_Crosse_encephalitis,,,
Lassa Fever,,,,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Lassa_fever,Lassa hemorrhagic fever (LHF),,
Legionnaires',,,,,,,,Legionnaires' disease,,
Leishmaniasis,,,,,,,http://en.wikipedia.org/wiki/Leishmaniasis,leishmaniosis,,
Leprosy,,,,,,,http://en.wikipedia.org/wiki/Leprosy,Hansen's disease,,
Leptospirosis,,,,,,,http://en.wikipedia.org/wiki/Leptospirosis,"field fever, rat catcher's yellows, pretibial fever",,
LGV,,,,,,,http://en.wikipedia.org/wiki/Lymphogranuloma_venereum,Lymphogranuloma venereum,,
Lice,,TRUE,,,,,http://en.wikipedia.org/wiki/Louse,louse,,
Listeriosis,,,,,,,http://en.wikipedia.org/wiki/Listeriosis,,,
Liver Fluke,,TRUE,,,,,http://en.wikipedia.org/wiki/Liver_fluke,,,
Loiasis,,,,,,,http://en.wikipedia.org/wiki/Loa_loa_filariasis,,,Recently added to Health Map
Lumpy Skin Disease,,,,,TRUE,,http://en.wikipedia.org/wiki/Lumpy_skin_disease,,,
Lyme Disease,,,,Tick-borne disease,,,http://en.wikipedia.org/wiki/Lyme_disease,,,
Machupo Virus,,TRUE,,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Bolivian_hemorrhagic_fever,Bolivian hemorrhagic fever,,
Malaria,,,,,,,http://en.wikipedia.org/wiki/Malaria,,,
Marburg Fever,,,,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Marburg_virus_disease,,,
Mayaro virus disease,,,,,,,http://en.wikipedia.org/wiki/Mayaro_virus_disease,,TRUE,
Measles,,,,,,,http://en.wikipedia.org/wiki/Measles,,,
Melioidosis,,,,,,,http://en.wikipedia.org/wiki/Melioidosis,,,
Meningitis,,,,,,,http://en.wikipedia.org/wiki/Meningitis,,,
Meningitis - HiB,,,,Meningitis,,,http://www.nlm.nih.gov/medlineplus/ency/article/000612.htm,,,non-wiki
Meningitis - Neisseria,,,,Bacterial Meningitis,,,http://en.wikipedia.org/wiki/Neisseria_meningitidis,"Neisseria meningitis, meningococcus",,
Meningitis - Strep/Pneumoccocal,,,,Bacterial Meningitis,,,http://en.wikipedia.org/wiki/Meningitis,,,embedded in wiki article on meningitis
MERS,,TRUE,,Coronavirus,,,http://en.wikipedia.org/wiki/Middle_East_respiratory_syndrome,Middle East Respiratory syndrome,,
Metagonimiasis,,,,,,,http://en.wikipedia.org/wiki/Metagonimiasis,,,
Monkeypox,,TRUE,,,,,http://en.wikipedia.org/wiki/Monkeypox,,,
Mononucleosis,,,,,,,http://en.wikipedia.org/wiki/Infectious_mononucleosis,"mon, glandular fever, pfeirffer's disease, Filatov's disease",,
MRSA,,TRUE,,Antibiotic resistance,,,http://en.wikipedia.org/wiki/Methicillin-resistant_Staphylococcus_aureus,Methicillin-resistant Staphylococcus aureus,,
Mucormycosis,,,,,,,http://en.wikipedia.org/wiki/Mucormycosis,,,
Mumps,,,,,,,http://en.wikipedia.org/wiki/Mumps,epidemic parotitis,,
Murine typhus,,,,Typhus,,,http://en.wikipedia.org/wiki/Murine_typhus,endemic typhus,TRUE,
Murray Valley encephalitis,,,,Encephalitis,,,http://en.wikipedia.org/wiki/Murray_Valley_encephalitis_virus,,,
"Mycobacteria, non-TB",,,,,,,http://en.wikipedia.org/wiki/Mycobacterium,,,included in mycobacterium wiki article
Myiasis,,,,,,,http://en.wikipedia.org/wiki/Myiasishttp://en.wikipedia.org/wiki/Myiasis,,,
Newcastle Disease,,,,,,,http://en.wikipedia.org/wiki/Newcastle_disease,,,
Nipah/Hendra Virus,,TRUE,,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Henipavirus,,,embedded in Henipavirus article
Hendra,,TRUE,,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Henipavirus,,TRUE,embedded in Henipavirus article
Norovirus,,TRUE,,Gastroenteritis,,,http://en.wikipedia.org/wiki/Norovirus,,,
Not Yet Classified,TRUE,,,,,TRUE,NAP,,,
Novel Swine Enteric Coronavirus,,TRUE,,,,,NF,,,
Omsk hemorrhagic fever,,,,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Omsk_hemorrhagic_fever,,TRUE,
Oropouche fever,,,,,,,http://en.wikipedia.org/wiki/Oropouche_fever,,TRUE,
